Value,"County, State"
589900.0,"Middlesex, MA"
450000.0,"Plymouth, MA"
560000.0,"Norfolk, MA"
329000.0,"Worcester, MA"
317500.0,"Berkshire, MA"
519000.0,"Barnstable, MA"
349900.0,"Bristol, MA"
699900.0,"Suffolk, MA"
320000.0,"Prince Georges, MD"
384900.0,"Carroll, MD"
318000.0,"Harford, MD"
224900.0,"Dorchester, MD"
275000.0,"Kent, MD"
419999.0,"Queen Annes, MD"
269900.0,"Baltimore, MD"
514900.0,"Montgomery, MD"
204400.0,"Wicomico, MD"
219900.0,"Caroline, MD"
326950.0,"Garrett, MD"
319000.0,"Worcester, MD"
369897.5,"Calvert, MD"
370000.0,"Frederick, MD"
160000.0,"Baltimore City, MD"
399215.0,"Anne Arundel, MD"
524900.0,"Howard, MD"
159900.0,"Somerset, MD"
225000.0,"Washington, MD"
333000.0,"Charles, MD"
467000.0,"Talbot, MD"
104900.0,"Allegany, MD"
305000.0,"Saint Marys, MD"
289000.0,"Cecil, MD"
189900.0,"Androscoggin, ME"
219950.0,"Franklin, ME"
199900.0,"Kennebec, ME"
145000.0,"Piscataquis, ME"
325000.0,"Lincoln, ME"
339000.0,"Hancock, ME"
249900.0,"Waldo, ME"
359900.0,"Cumberland, ME"
169250.0,"Penobscot, ME"
299000.0,"Knox, ME"
110000.0,"Aroostook, ME"
139900.0,"Somerset, ME"
199000.0,"Oxford, ME"
289900.0,"Sagadahoc, ME"
159900.0,"Washington, ME"
339900.0,"York, ME"
129950.0,"Baraga, MI"
139900.0,"Branch, MI"
184900.0,"Eaton, MI"
292000.0,"Livingston, MI"
159500.0,"Otsego, MI"
328495.0,"Washtenaw, MI"
126750.0,"Houghton, MI"
