county_name,crime_rate_per_100000,IDNO,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,INDEX,MODINDX,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,population,FIPS_ST,FIPS_CTY,State
Dallas ,144.69259519999997,821,45861,69713,4,7,100.0,108,1077,1,7,3,97,193,841,43,6,74641,19,49,IA
Monroe ,144.5300919,495,26909,26909,6,3,100.0,39,522,0,2,6,31,126,359,37,4,26984,13,207,GA
San Juan ,144.5086705,303,702,702,1,1,100.0,1,16,0,0,0,1,4,11,1,0,692,8,111,CO
Caledonia ,144.4298232,2838,31145,31145,5,5,100.0,45,674,1,4,6,34,256,396,22,3,31157,50,5,VT
Hot Springs ,144.4192284,3163,4869,4869,2,2,100.0,7,84,0,0,0,7,14,68,2,1,4847,56,17,WY
Jefferson Davis ,143.7653749,1148,31881,27486,5,3,100.0,45,640,0,7,11,27,97,507,36,1,31301,22,53,LA
Erath ,143.7288819,2622,38839,38839,4,4,100.0,57,909,0,11,3,43,217,661,31,3,39658,48,143,TX
York ,143.4079957,1202,198349,198349,20,19,100.0,286,4565,6,61,54,165,1025,3405,135,39,199431,23,31,ME
Umatilla ,143.37851930000002,2262,77270,76590,12,9,100.0,110,2615,4,14,18,74,569,1756,290,15,76720,41,59,OR
Choctaw ,143.35204869999998,1424,8430,8430,2,2,100.0,12,66,0,2,0,10,20,43,3,0,8371,28,19,MS
Williamson ,143.0955343,2796,414206,449413,12,15,100.0,674,8505,3,98,126,447,1402,6826,277,33,471014,48,491,TX
Greensville ,143.025408,2890,12246,12246,2,2,100.0,17,119,0,1,0,16,35,78,6,1,11886,51,81,VA
Ellis ,142.9707134,2620,151771,155041,10,15,100.0,223,3490,6,11,44,162,722,2616,152,18,155976,48,139,TX
Potter ,142.8816369,2322,17481,17481,10,9,100.0,25,190,1,10,0,14,89,89,12,0,17497,42,105,PA
Morgan ,142.87347130000003,3059,17535,16404,6,3,100.0,25,236,0,4,1,20,96,117,23,0,17498,54,65,WV
Story ,142.84786699999998,881,90011,90011,5,5,100.0,132,2037,0,46,8,78,449,1539,49,11,92406,19,169,IA
Jo Daviess ,142.8125139,645,22723,20924,8,6,100.0,32,207,0,11,0,21,56,143,8,1,22407,17,85,IL
Benton ,142.8061407,1331,30176,38919,2,4,100.0,56,605,0,23,8,25,121,454,30,3,39214,27,9,MN
Lemhi ,142.63485480000003,587,8021,8021,2,2,100.0,11,50,0,1,0,10,16,33,1,0,7712,16,59,ID
Stafford ,142.5563646,2936,133590,133590,2,2,100.0,195,2266,1,23,41,130,227,1934,105,19,136788,51,179,VA
Power ,142.5055059,596,7803,7819,2,3,100.0,11,104,0,1,0,10,14,84,6,0,7719,16,77,ID
Pontotoc ,142.4086481,1472,29964,29964,1,1,0.0,44,429,1,3,4,35,181,224,25,4,30897,28,115,MS
Island ,142.130176,3001,79745,79745,4,4,99.8902,112,1507,1,24,5,82,520,924,63,9,78801,53,29,WA
Goodhue ,142.0454545,1351,45760,46513,4,5,100.0,66,1093,0,13,6,47,203,823,67,5,46464,27,49,MN
Sumter ,141.9817666,385,99090,94955,16,6,100.0,152,925,0,16,17,119,321,559,45,1,107056,12,119,FL
Saline ,141.9232754,1594,23444,23444,6,8,100.0,33,469,1,3,3,26,111,337,21,2,23252,29,195,MO
Wabaunsee ,141.82385480000002,994,7062,6230,4,3,98.4551,10,59,0,1,0,9,13,34,12,9,7051,20,197,KS
Louisa ,141.8188264,854,11413,11413,1,1,100.0,16,93,0,0,0,16,35,55,3,1,11282,19,115,IA
Rock ,141.74344440000002,1745,1504,1504,2,2,100.0,2,7,0,0,0,2,2,5,0,0,1411,31,149,NE
Hopkins ,141.5276408,1055,47028,45822,7,5,100.0,66,968,2,22,13,29,269,642,58,6,46634,21,107,KY
Wasco ,141.3039212,2265,25413,25413,4,2,100.0,36,833,2,4,11,19,161,629,43,3,25477,41,65,OR
Androscoggin ,141.25868930000001,1187,107479,107479,11,10,100.0,152,3273,0,44,63,45,767,2407,99,22,107604,23,1,ME
Morrow ,141.1432604,2257,11248,11248,5,3,100.0,16,264,1,2,1,12,80,167,17,2,11336,41,49,OR
Johnson ,141.097999,1548,53539,53539,6,6,100.0,77,1384,2,7,9,59,280,1033,71,6,54572,29,101,MO
Suffolk ,141.09131059999999,1900,1506906,1505420,31,23,99.9991,2116,26600,23,52,745,1295,4349,21072,1178,155,1499738,36,103,NY
Fulton ,140.9553641,1039,6772,4389,4,2,100.0,9,144,0,2,4,2,36,104,4,1,6385,21,75,KY
Habersham ,140.8775982,461,45073,43741,10,10,99.7512,61,878,0,7,1,53,269,576,33,0,43300,13,137,GA
Chautauqua ,140.7657658,905,3602,3602,3,3,68.8645,5,49,0,0,0,4,19,29,2,1,3552,20,19,KS
Charles Mix ,140.6774159,2399,9312,8057,3,2,100.0,13,74,1,3,0,9,29,43,2,1,9241,46,23,SD
